id,name,author,price
1,醫生說「請妳運動！」時，最強女性對症運動指南 日本首席體能訓練師教妳：1次5分鐘，改善肥胖、浮腫、自律神經失調、更年期不適！,中野‧詹姆士‧修一,優惠價：79折284元
2,媽媽的每一天：高木直子手忙腳亂日記,高木直子,優惠價：79折253元
3,從負債2000萬到心想事成每一天：15個實現願望的口頭禪，符合宇宙法則、越說越好運！,小池浩,優惠價：66折211元
4,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,優惠價：79折261元
5,這世界很煩，但你要很可愛,萬特特  等,優惠價：79折261元
6,以我之名：寫給獨一無二的自己,張曼娟,優惠價：79折284元
7,後來的你，好嗎？（附Peter Su手繪塗鴉書籤）,Peter Su,優惠價：79折300元
8,就怕平庸成為你人生的注解（親簽版）,歐陽立中,優惠價：79折300元
9,醫生說「請你運動！」時，最強對症運動指南：日本首席體能訓練師教你：1次5分鐘，釋放身體痠痛疲勞，降中風、心臟病死亡率！,"中野‧詹姆士‧修一,田?尚吾",優惠價：79折284元
10,楞嚴經蠡測【第壹冊】,王薀,優惠價：9折270元
11,我的存在本來就值得青睞,吳姍儒,優惠價：79折300元
12,陪你去看蘇東坡,衣若芬,優惠價：79折356元
13,跟著柴鼠學FQ，做自己的提款機：為投資理財打好基本功，讓你不靠勞力，增加被動收入，快速FIRE,柴鼠兄弟,優惠價：79折300元
14,我想跟你好好說話：賴佩霞的六堂「非暴力溝通」入門課,賴佩霞,優惠價：79折284元
15,師者【第壹冊】,王薀,優惠價：9折270元
16,神奇柑仔店5：我不要帥哥面具！,廣?玲子,優惠價：79折237元
17,神奇柑仔店6：忍耐鉛筆大逆襲,廣?玲子,優惠價：79折237元
18,屁屁偵探讀本番外篇 咖哩香料事件,Troll,優惠價：79折221元
19,新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握！(附13小時8種版本MP3),David Cho,優惠價：79折394元
20,木曜4超玩：臺灣TOP1網路實境綜藝節目幕後創作秘辛（贈 木曜扇＋5週年紀念海報＋宇宙級彩蛋）【首刷限定版】,木曜4超玩,優惠價：79折332元
21,創業股權規劃實戰聖經：給台灣新創、投資者的募資、估值、財務問題解決指南,莊世金,優惠價：79折332元
22,田安石的碳水循環飲食法：寫給因為生酮、減醣、瘦身而心累的你,田安石,優惠價：79折308元
23,牧羊少年奇幻之旅【繪圖本】（博客來獨家精裝版）,保羅．科爾賀,優惠價：79折237元
24,陪伴教養學：校長媽媽教你如何培養會思考、負責又自律的小孩,崔椿琦,優惠價：79折221元
25,富爸爸，窮爸爸（20週年紀念版）,羅勃特‧T‧清崎,優惠價：79折300元
26,Never ending dream -hide story- 全,大島?美,優惠價：79折300元
27,日日，茶日子：一杯茶，從入口開始，茶韻的層次感、身心氣息，到禪修內觀呼吸的覺知力與平等心練習，進而品味茶中天人合一的完美實踐,李啟彰,優惠價：79折332元
