id,name,rate,link
1,黃金海岸活蝦之家 (新北新莊店),5月5日,https://www.foodpanda.com.tw/restaurant/f4ic/f4ic
2,茶之鄉,4.7/5,https://www.foodpanda.com.tw/restaurant/b4kv/cha-zhi-xiang
3,酒桶熱炒海鮮餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/f8ub/f8ub
4,三顧茅廬,4.6/5,https://www.foodpanda.com.tw/chain/cn3xg/san-gu-mao-lu
5,089G排殿,4.6/5,https://www.foodpanda.com.tw/restaurant/f0aq/089g
6,吉野家 Yoshinoya,4.6/5,https://www.foodpanda.com.tw/chain/cx7kf/ji-ye-jia-yoshinoya
7,台西蚵仔麵線,4.5/5,https://www.foodpanda.com.tw/restaurant/e9ir/tai-xi-he-zi-mian-xian
8,酒桶丼飯,4.5/5,https://www.foodpanda.com.tw/chain/cj2bp/jiu-tong-jing-fan
9,八方雲集,4.5/5,https://www.foodpanda.com.tw/chain/cf2ih/ba-fang-yun-ji
10,魚見?燒,4.5/5,https://www.foodpanda.com.tw/chain/cg2gw/yu-jian-bang-shao
11,阿嘉師 嘉義雞肉飯。涼麵,4.5/5,https://www.foodpanda.com.tw/restaurant/f1il/f1il
12,絕代雙椒麻辣滷味,4.5/5,https://www.foodpanda.com.tw/restaurant/f3kn/f3kn
13,鍋台銘 (新莊中港店),4.5/5,https://www.foodpanda.com.tw/restaurant/e6ru/guo-tai-ming-xin-zhuang-zhong-gang-dian
14,兩宜食坊,4.4/5,https://www.foodpanda.com.tw/restaurant/f1ob/f1ob
15,陳記香菇肉粥,4.4/5,https://www.foodpanda.com.tw/restaurant/f5dv/f5dv
16,豪味滷肉飯,4.4/5,https://www.foodpanda.com.tw/restaurant/d9rw/hao-wei-lu-rou-fan
17,食在幸福,4.4/5,https://www.foodpanda.com.tw/restaurant/f8fx/f8fx
18,久代日本料理,4.2/5,https://www.foodpanda.com.tw/restaurant/f3jr/f3jr
19,豆品道石頭火鍋,4.1/5,https://www.foodpanda.com.tw/restaurant/f5ya/f5ya
20,老么牛肉麵 (新莊西盛店),4.1/5,https://www.foodpanda.com.tw/restaurant/d4pt/lao-yao-niu-rou-mian-xin-zhuang-xi-sheng-dian
21,生炒羊肉 (泰山店),4.1/5,https://www.foodpanda.com.tw/restaurant/f9wl/f9wl
22,雞湯面線 ,4.1/5,https://www.foodpanda.com.tw/chain/cp5rj/ji-tang-mian-xian
23,高地PUB,4.8/5,https://www.foodpanda.com.tw/restaurant/d1qy/pub
24,日船章魚小丸子（新莊廟街店）,4.8/5,https://www.foodpanda.com.tw/restaurant/a6wv/ri-chuan-can-yin
25,斗六當歸鴨 (新莊福壽店),4.8/5,https://www.foodpanda.com.tw/restaurant/b6ow/dou-liu-dang-gui-ya-xin-zhuang-fu-shou-dian
26,九龍塘廣東粥,4.8/5,https://www.foodpanda.com.tw/restaurant/a0tb/jiu-long-tang-guang-dong-zhou
27,85度C,4.8/5,https://www.foodpanda.com.tw/chain/co3xj/85du-c-zhong-nan-bu
28,麗媽四季鍋 (新北泰林店),4.8/5,https://www.foodpanda.com.tw/restaurant/a4le/li-ma-si-ji-guo-xin-bei-tai-lin-dian
29,永和豆漿 (新莊中和店),4.8/5,https://www.foodpanda.com.tw/restaurant/b4zl/yong-he-dou-jiang-xin-zhuang-zhong-he-dian
30,豆漾 (新莊富國店),4.8/5,https://www.foodpanda.com.tw/restaurant/b9wo/dou-yang-xin-zhuang-fu-guo-dian
31,摩斯漢堡,4.8/5,https://www.foodpanda.com.tw/chain/ca4mx/mo-si-han-bao
32,新莊冰鎮 (新莊建中店),4月5日,https://www.foodpanda.com.tw/restaurant/f0zu/f0zu
33,冰豆綠豆沙 (板橋南雅店),4月5日,https://www.foodpanda.com.tw/restaurant/f4rs/f4rs
34,胖老爹美式炸雞 (新莊中華店),4.7/5,https://www.foodpanda.com.tw/restaurant/y0hj/pang-lao-die-mei-shi-zha-ji-xin-zhuang-zhong-hua-dian
35,呷胖,4.7/5,https://www.foodpanda.com.tw/restaurant/z2zf/xia-pang
36,秋元關東煮,4.7/5,https://www.foodpanda.com.tw/restaurant/y7dt/qiu-yuan-guan-dong-zhu
37,棒棒熱狗,4.7/5,https://www.foodpanda.com.tw/restaurant/a2yb/bang-bang-re-gou
38,鮮豆綠豆沙,4.7/5,https://www.foodpanda.com.tw/chain/cr4ll/xian-dou-lu-dou-sha
39,品江冷滷味,4.7/5,https://www.foodpanda.com.tw/restaurant/d7ix/pin-jiang-leng-lu-wei
40,源社子廣東粥 (中平店),4.7/5,https://www.foodpanda.com.tw/restaurant/a7ol/yuan-she-zi-guang-dong-zhou
41,粥師傅 (板橋裕民店),4.7/5,https://www.foodpanda.com.tw/restaurant/f9mb/f9mb
42,新莊碳烤,4.7/5,https://www.foodpanda.com.tw/restaurant/d1bo/xin-zhuang-tan-kao
43,廖添丁香川麻辣燙 (新北板橋店),4.7/5,https://www.foodpanda.com.tw/restaurant/a0sa/liao-tian-ding-xiang-chuan-ma-la-tang-xin-bei-ban-qiao-dian
44,小上海香酥雞 (新莊福壽店),4.7/5,https://www.foodpanda.com.tw/restaurant/a8gg/xiao-shang-hai-xiang-su-ji-xin-zhuang-fu-shou-dian
45,巧味現烤烘焙,4.7/5,https://www.foodpanda.com.tw/restaurant/b2sk/qiao-wei-xian-kao-hong-bei
46,McD 麥當勞  POS Integrations,4.7/5,https://www.foodpanda.com.tw/chain/co4jt/mcd-mai-dang-lao-pos-inter
47,豆花伯,4.7/5,https://www.foodpanda.com.tw/restaurant/d9ay/dou-hua-bo
48,??家 Sukiya,4.7/5,https://www.foodpanda.com.tw/chain/ck3pb/sukiya
49,戰鬥雞,4.7/5,https://www.foodpanda.com.tw/chain/cl1lq/zhan-dou-ji
50,皇財燒仙草,4.7/5,https://www.foodpanda.com.tw/restaurant/b2eq/huang-cai-shao-xian-cao
51,???鬆餅的戀曲,4.7/5,https://www.foodpanda.com.tw/restaurant/d9te/song-bing-de-lian-qu
52,9478炸G,4.7/5,https://www.foodpanda.com.tw/restaurant/d3eb/9478-g
53,鬍鬚張,4.7/5,https://www.foodpanda.com.tw/chain/cg1gy/hu-xu-zhang
54,香建沙威瑪,4.7/5,https://www.foodpanda.com.tw/restaurant/y4rs/xiang-jian-sha-wei-ma
55,麥當勞 【無pos、分時段】,4.7/5,https://www.foodpanda.com.tw/chain/cp2yn/mai-dang-lao
56,胖老爹美式炸雞 (新莊廟街店),4.7/5,https://www.foodpanda.com.tw/restaurant/y8qe/pang-lao-die-mei-shi-zha-ji-xin-zhuang-miao-jie-dian
57,桶神現滷滷味 (新莊西盛店),4.7/5,https://www.foodpanda.com.tw/restaurant/a5vp/tong-shen-xian-lu-lu-wei-xin-bei-xin-zhuang-xi-sheng-dian
58,胖老爹美式炸雞 (新莊中港店),4.7/5,https://www.foodpanda.com.tw/restaurant/z7ss/pang-lao-die-mei-shi-zha-ji-xin-zhuang-zhong-gang-dian
59,3Q脆皮雞排,4.7/5,https://www.foodpanda.com.tw/chain/cy1rd/3qcui-pi-ji-pai
60,烤匠,4.7/5,https://www.foodpanda.com.tw/chain/cl2kp/kao-jiang
61,曲肯叔叔美式炸雞,4.7/5,https://www.foodpanda.com.tw/chain/ci8ay/qu-ken-shu-shu-mei-shi-zha-ji
62,斗六當歸鴨 (新莊四維店),4.7/5,https://www.foodpanda.com.tw/restaurant/b3xl/dou-liu-dang-gui-ya-xin-zhuang-si-wei-dian
63,魔王狂爆雞排 (泰山明志店),4.7/5,https://www.foodpanda.com.tw/restaurant/d2hf/mo-wang-kuang-bao-ji-pai-tai-shan-ming-zhi-dian
64,鴨香煲 (新莊龍安店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3yp/ya-xiang-bao-xin-zhuang-long-an-dian
65,Winggy Winggy,4.7/5,https://www.foodpanda.com.tw/chain/cy3ih/winggy-winggy
66,松好港式脆皮臭豆腐,4.7/5,https://www.foodpanda.com.tw/restaurant/z6kf/song-hao-gang-shi-cui-pi-chou-dou-fu
67,昌平炸雞王,4.7/5,https://www.foodpanda.com.tw/chain/ca1zt/chang-ping-zha-ji-wang
68,好爸爸鐵板燒便當,4.7/5,https://www.foodpanda.com.tw/restaurant/a7pm/hao-ba-ba-tie-ban-shao-bian-dang
69,武侍麻辣鍋,4.7/5,https://www.foodpanda.com.tw/chain/cy6jj/wu-shi-ma-la-guo
70,精美早餐,4.7/5,https://www.foodpanda.com.tw/restaurant/e6cr/jing-mei-zao-can
71,惡魔骰子牛,4.7/5,https://www.foodpanda.com.tw/restaurant/z6oe/e-mo-tou-zi-niu
72,呷霸牛肉麵,4.7/5,https://www.foodpanda.com.tw/restaurant/b4hx/xia-ba-niu-rou-mian
73,胖老爹美式炸雞 (板橋江翠店),4.7/5,https://www.foodpanda.com.tw/restaurant/y9wq/pang-lao-die-mei-shi-zha-ji-ban-qiao-jiang-cui-dian
74,5味臭臭鍋 (板橋華興店),4.7/5,https://www.foodpanda.com.tw/restaurant/b4xr/5-6
75,欲罷不能鹽水雞 (新北新莊富國店),4.7/5,https://www.foodpanda.com.tw/restaurant/z6wu/yu-ba-bu-neng-yan-shui-ji-xin-bei-xin-zhuang-fu-guo-dian
76,胖老爹美式炸雞 (板橋合宜店),4.7/5,https://www.foodpanda.com.tw/restaurant/y2dz/pang-lao-die-mei-shi-zha-ji-ban-qiao-he-yi-dian
77,陳寬臭臭鍋,4.6/5,https://www.foodpanda.com.tw/restaurant/d5ya/chen-kuan-chou-chou-guo
78,台南擔仔麵,4.6/5,https://www.foodpanda.com.tw/restaurant/y2qe/tai-nan-dan-zi-mian
