id,name,rate,link
1,佳佳兩吃鍋,4.5/5,https://www.foodpanda.com.tw/restaurant/d7nq/jia-jia-liang-chi-guo
2,吮指王 (三重大同店),4.8/5,https://www.foodpanda.com.tw/restaurant/d5pm/shun-zhi-wang-san-zhong-da-tong-dian
3,獨伊佳滷味店,4.7/5,https://www.foodpanda.com.tw/restaurant/b2cj/du-yi-jia-lu-wei-dian
4,崧田滷味,4.7/5,https://www.foodpanda.com.tw/restaurant/f7tw/f7tw
5,川湘火鍋店,4.6/5,https://www.foodpanda.com.tw/restaurant/a0gf/chuan-xiang-huo-guo-dian
6,生猛活海鮮 (新北三重店),4.5/5,https://www.foodpanda.com.tw/restaurant/y6gp/sheng-meng-huo-hai-xian-xin-bei-san-zhong-dian
7,協力香雞排 (三重後竹圍店),4.6/5,https://www.foodpanda.com.tw/restaurant/d5uo/xie-li-xiang-ji-pai-san-zhong-hou-zhu-wei-dian
8,寶島紅茶冰 (新北三重店),4.7/5,https://www.foodpanda.com.tw/restaurant/f3ta/new3
9,鐵馬棉被起司炒麵麵包,4.6/5,https://www.foodpanda.com.tw/restaurant/a9fq/tie-ma-mian-bei-qi-si-chao-mian-mian-bao
10,楊大娘關東煮、小火鍋、麻辣燙,4.6/5,https://www.foodpanda.com.tw/restaurant/d1ve/yang-da-niang-lu-zhou-xin-yi-dian
11,懷念的豬腸湯,4.5/5,https://www.foodpanda.com.tw/restaurant/x4fr/huai-nian-de-zhu-chang-tang
12,島瓜滷味 (三重文化北店),4.8/5,https://www.foodpanda.com.tw/restaurant/f2hw/f2hw
13,胖老爹美式炸雞 (三重自強店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3kh/pang-lao-die-mei-shi-zha-ji-san-zhong-zi-qiang-dian
14,山尚羊肉爐 (新北三重店),4.6/5,https://www.foodpanda.com.tw/restaurant/z5mj/shan-shang-yang-rou-lu-xin-bei-san-zhong-dian
15,鮮咖啡複合式餐飲,4.5/5,https://www.foodpanda.com.tw/restaurant/e1az/xian-ka-pei-fu-he-shi-can-yin
16,創意造型熱狗,4.7/5,https://www.foodpanda.com.tw/restaurant/z2ik/chuang-yi-zao-xing-re-gou
17,廖添丁香川麻辣燙 (新北三重店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9pk/liao-tian-ding-xiang-chuan-ma-la-tang-xin-bei-san-zhong-dian
18,BOSS沙威瑪 (蘆洲成功店),4.7/5,https://www.foodpanda.com.tw/restaurant/d7sp/bosssha-wei-ma-lu-zhou-cheng-gong-dian
19,摩奇地,4.6/5,https://www.foodpanda.com.tw/restaurant/y7vx/mo-qi-di
20,阿卡拉炸雞 (新北三重自強店),4.6/5,https://www.foodpanda.com.tw/restaurant/b3vs/a-qia-la-zha-ji-xin-bei-san-zhong-zi-qiang-dian
21,富大牛排館,4.6/5,https://www.foodpanda.com.tw/restaurant/y9ze/fu-da-niu-pai-guan
22,雞sir's 鹹水雞 (總店),4.6/5,https://www.foodpanda.com.tw/restaurant/d8sc/ji-sir-s-xian-shui-ji-zong-dian
23,冷宮炒泡麵.雪花冰,4.5/5,https://www.foodpanda.com.tw/restaurant/z9jt/leng-gong-bao-bing-xue-hua-zhuan-mai
24,拿督肉骨茶? (三重中央店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8ml/na-du-rou-gu-cha-san-zhong-zhong-yang-dian
25,七嘴八舌滷味 (三重大榮店),4.6/5,https://www.foodpanda.com.tw/restaurant/d7sv/qi-zui-ba-she-lu-wei-san-zhong-da-rong-dian
26,滷水堂 (三重公園店),4.6/5,https://www.foodpanda.com.tw/restaurant/e4zs/lu-shui-tang-san-zhong-gong-yuan-dian
27,建誼滷味 (蘆洲信義直營店),4.7/5,https://www.foodpanda.com.tw/restaurant/b4at/jian-yi-lu-wei-lu-zhou-xin-yi-zhi-ying-dian
28,台南小上海香酥雞,4.7/5,https://www.foodpanda.com.tw/restaurant/z4la/tai-nan-xiao-shang-hai-xiang-su-ji
29,三重原滷味,4.6/5,https://www.foodpanda.com.tw/restaurant/y1qf/san-zhong-yuan-lu-wei
30,萬里香碳燒石頭玉米,4.7/5,https://www.foodpanda.com.tw/restaurant/y9wm/wan-li-xiang-kao-yu-mi
31,搶鮮100海鮮料理餐廳,4.4/5,https://www.foodpanda.com.tw/restaurant/z5mi/-100--1
32,淡大無名去骨鹽水雞,5月5日,https://www.foodpanda.com.tw/restaurant/f3lp/f3lp
33,摩奇地,4.6/5,https://www.foodpanda.com.tw/restaurant/y7vx/mo-qi-di
