id,name,rate,link
1,台北城麻辣鴨血臭豆腐,4.7/5,https://www.foodpanda.com.tw/restaurant/b4li/tai-bei-cheng-ma-la-ya-xie-chou-dou-fu
2,貓頭鷹深夜早餐,4.5/5,https://www.foodpanda.com.tw/restaurant/a1tf/mao-tou-ying-shen-ye-zao-can
3,艸艸了事義式炒飯,4.6/5,https://www.foodpanda.com.tw/restaurant/z7wf/cao-cao-liao-shi-yi-shi-chao-fan
4,湯滷味,4.6/5,https://www.foodpanda.com.tw/restaurant/z5hq/tang-lu-wei
5,崧匠燒鳥屋台 (新北板橋店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9bb/song-jiang-shao-niao-wu-tai-xin-bei-ban-qiao-dian
6,好吉市生猛海鮮,4.5/5,https://www.foodpanda.com.tw/restaurant/a3iu/hao-ji-shi-sheng-meng-hai-xian
7,金色三麥 (板橋大遠百店),4.4/5,https://www.foodpanda.com.tw/restaurant/f8dz/f8dz
8,店長鴨血 (新北中和景平店),4.6/5,https://www.foodpanda.com.tw/restaurant/a4uw/dian-chang-ya-xie-xin-bei-zhong-zheng-jing-ping-dian
9,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
10,Winggy Winggy美式雞翅店 (板橋新埔店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8ge/winggy-winggy-
11,鴨香煲 (土城延平店),4.6/5,https://www.foodpanda.com.tw/restaurant/d3jc/ya-xiang-bao-tu-cheng-yan-ping-dian
12,大嚐津泡菜燒肉,4.6/5,https://www.foodpanda.com.tw/restaurant/a2qc/da-chang-jin-pao-cai-shao-rou
13,店長鴨血 (新北板橋三民店),4.5/5,https://www.foodpanda.com.tw/restaurant/z1jq/dian-chang-ya-xie-xin-bei-ban-qiao-san-min-dian
14,武侍精煉湯品職人 (中和環球店),4.6/5,https://www.foodpanda.com.tw/restaurant/e2zh/wu-shi-jing-lian-tang-pin-zhi-ren-zhong-he-huan-qiu-dian
15,欲罷不能鹹水雞 (板橋三民店),4.6/5,https://www.foodpanda.com.tw/restaurant/z7wh/yu-ba-bu-neng-xian-shui-ji-ban-qiao-san-min-dian
16,貢寮阿榮熱炒,4.7/5,https://www.foodpanda.com.tw/restaurant/e2el/gong-liao-a-rong-re-chao
17,夢想雞,4.6/5,https://www.foodpanda.com.tw/restaurant/d8fr/meng-xiang-ji
