id,name,rate,link
217,? 碳烤吐司,4.6/5,https://www.foodpanda.com.tw/restaurant/e3rd/kang-tan-kao-tu-si
204,??家 Sukiya (板橋府中店),4.7/5,https://www.foodpanda.com.tw/restaurant/z4jw/sukiya-8
,,,
,,,
,,,
169,12MINI (永安市場店),4.8/5,https://www.foodpanda.com.tw/restaurant/b6ny/12mini--6
135,2派克脆皮雞排 (土城明德店),4.6/5,https://www.foodpanda.com.tw/restaurant/a0fn/2-2
,,,
115,50嵐 (樂華店),4.8/5,https://www.foodpanda.com.tw/restaurant/e0ko/50--70
90,5味臭臭鍋 (板橋華興店),4.7/5,https://www.foodpanda.com.tw/restaurant/b4xr/5-6
189,85度C (中和員山店),5月5日,https://www.foodpanda.com.tw/restaurant/y9lw/85-c--172
196,85度C (中和圓通店),4.6/5,https://www.foodpanda.com.tw/restaurant/y1rl/85-c--144
,,,
,,,
167,85度C (永和頂溪店),4.7/5,https://www.foodpanda.com.tw/restaurant/y7qi/85-c--32
,,,
147,8叫雞泰式手撕雞鹽水雞．飯麵店,4.4/5,https://www.foodpanda.com.tw/restaurant/f8km/8-
101,ALICE愛麗絲來找茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y0jq/alice
110,ALICE愛麗絲來找茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y0jq/alice
96,Blue deer布鹿果漾新鮮式 (永和竹林店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8iq/blue-deer-1
103,Blue deer布鹿果漾新鮮式 (永和竹林店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8iq/blue-deer-1
99,COMEBUY (中和宜安店),4.8/5,https://www.foodpanda.com.tw/restaurant/e8js/comebuy--7
114,COMEBUY (中和宜安店),4.8/5,https://www.foodpanda.com.tw/restaurant/e8js/comebuy--7
112,COMEBUY (新北中和民安店),4.7/5,https://www.foodpanda.com.tw/restaurant/a4zc/comebuy--68
138,G拔拔香脆雞排 (板橋店),4.5/5,https://www.foodpanda.com.tw/restaurant/a5wb/g--4
52,G霸鹹酥雞 (中和興南店),4.5/5,https://www.foodpanda.com.tw/restaurant/b7zv/g-
111,I FRESH鮮果茶 (板橋文化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2bp/i-fresh-3
10,J’s Coffee 僦室 自家烘焙咖啡園,4.7/5,https://www.foodpanda.com.tw/restaurant/d8uw/j-s-coffee-
16,J’s Coffee 僦室 自家烘焙咖啡園,4.7/5,https://www.foodpanda.com.tw/restaurant/d8uw/j-s-coffee-
79,J’s Coffee 僦室 自家烘焙咖啡園,4.7/5,https://www.foodpanda.com.tw/restaurant/d8uw/j-s-coffee-
182,J’s Coffee 僦室 自家烘焙咖啡園,4.6/5,https://www.foodpanda.com.tw/restaurant/d8uw/j-s-coffee-
123,KAJU義式手作冰淇淋 (新北板橋店),4.7/5,https://www.foodpanda.com.tw/restaurant/z3vu/kaju-
17,miniB手作漢堡,4.7/5,https://www.foodpanda.com.tw/restaurant/z2cr/minib
11,miniB手作漢堡,4.7/5,https://www.foodpanda.com.tw/restaurant/z2cr/minib
183,miniB手作漢堡,4.7/5,https://www.foodpanda.com.tw/restaurant/z2cr/minib
58,Mister Donut (中和永安市場店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3ht/mister-donut--31
68,Mister Donut (中和永安市場店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3ht/mister-donut--31
166,Mister Donut (中和永安市場店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3ht/mister-donut--31
32,Mister Donut (新北景安門市),4.7/5,https://www.foodpanda.com.tw/restaurant/d9jp/mister-donut--28
51,Mr.雪腐,4.8/5,https://www.foodpanda.com.tw/restaurant/z3qd/mr--3
37,Mr.雪腐,4.8/5,https://www.foodpanda.com.tw/restaurant/z3qd/mr--3
163,Mr.雪腐,4.8/5,https://www.foodpanda.com.tw/restaurant/z3qd/mr--3
182,No.99串烤,4.6/5,https://www.foodpanda.com.tw/restaurant/f5gp/no-99-
117,PickMe皮克米板橋府中店,4.6/5,https://www.foodpanda.com.tw/restaurant/y4fe/pickme-
73,Pizza Hut必勝客 (永和永安店),4.7/5,https://www.foodpanda.com.tw/restaurant/z2fe/pizza-hut--207
174,Pizza Hut必勝客 (永和永安店),4.7/5,https://www.foodpanda.com.tw/restaurant/z2fe/pizza-hut--207
85,Pizza Hut必勝客 (板橋府中店),4.7/5,https://www.foodpanda.com.tw/restaurant/y1nd/pizza-hut--72
79,Pizza Hut必勝客 (板橋重慶店),4.7/5,https://www.foodpanda.com.tw/restaurant/y4ue/pizza-hut--102
77,Pizza Hut必勝客 (板橋特區店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3rg/pizza-hut--57
65,Pizza Hut必勝客 (連城外送店),4.7/5,https://www.foodpanda.com.tw/restaurant/z7of/pizza-hut--63
69,Tea’s原味 (土城中央店),5月5日,https://www.foodpanda.com.tw/restaurant/v2ii/tea-s--36
71,Tea's原味 (土城青雲店),4.9/5,https://www.foodpanda.com.tw/restaurant/f2im/tea-s-2
114,TeaTop台灣第一味 (新北永和永元店),4.8/5,https://www.foodpanda.com.tw/restaurant/z2yh/teatop--19
100,TeaTop台灣第一味 (新北永和永元店),4.8/5,https://www.foodpanda.com.tw/restaurant/z2yh/teatop--19
10,Winggy Winggy美式雞翅店 (板橋新埔店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8ge/winggy-winggy-
179,ㄚ祺師鹹酥雞,2月5日,https://www.foodpanda.com.tw/restaurant/f8nm/f8nm
116,一芳水果茶 (永和得和店),4.7/5,https://www.foodpanda.com.tw/restaurant/z0zn/yi-fang-shui-guo-cha-yong-he-de-he-dian
96,一芳水果茶 (永和得和店),4.7/5,https://www.foodpanda.com.tw/restaurant/z0zn/yi-fang-shui-guo-cha-yong-he-de-he-dian
20,一送一蛋糕,4.6/5,https://www.foodpanda.com.tw/restaurant/a2zn/yi-song-yi-dan-gao
17,一送一蛋糕,4.6/5,https://www.foodpanda.com.tw/restaurant/a2zn/yi-song-yi-dan-gao
36,七嘴八舌(新店永平店),4.6/5,https://www.foodpanda.com.tw/restaurant/z6co/qi-zui-ba-she-xin-dian-yong-ping-dian
43,七嘴八舌(新店永平店),4.6/5,https://www.foodpanda.com.tw/restaurant/z6co/qi-zui-ba-she-xin-dian-yong-ping-dian
81,九分雞蛋糕 (新北延吉店),4.7/5,https://www.foodpanda.com.tw/restaurant/b1ok/jiu-fen-ji-dan-gao-xin-bei-yan-ji-dian
18,九品當歸豬腳,4.6/5,https://www.foodpanda.com.tw/restaurant/z2nc/jiu-pin-dang-gui-zhu-jiao
60,八方雲集 (永和頂溪店),4.6/5,https://www.foodpanda.com.tw/restaurant/b2aj/ba-fang-yun-ji-yong-he-ding-xi-dian
47,八方雲集 (永和頂溪店),4.6/5,https://www.foodpanda.com.tw/restaurant/b2aj/ba-fang-yun-ji-yong-he-ding-xi-dian
166,八方雲集 (板橋光武店),4.5/5,https://www.foodpanda.com.tw/restaurant/f9rl/f9rl
4,三角 (新北永平店),4.5/5,https://www.foodpanda.com.tw/restaurant/b6jp/san-jiao-xin-bei-yong-ping-dian
228,三媽臭臭鍋 (新北埔墘店),4.6/5,https://www.foodpanda.com.tw/restaurant/z3pn/san-ma-chou-chou-guo-xin-bei-bu-qi-dian
172,三顧茅廬 (中和民樂店),4.2/5,https://www.foodpanda.com.tw/restaurant/f5fx/f5fx
12,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
38,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
136,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
146,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
28,口?品麻辣臭豆腐平價牛排複合店 (永和永平店),4.6/5,https://www.foodpanda.com.tw/restaurant/a6ff/kou-xuan-pin-ma-la-chou-dou-fu-ping-jia-niu-pai-fu-he-dian-yong-he-yong-ping-dian
29,口?品麻辣臭豆腐平價牛排複合店 (永和永平店),4.6/5,https://www.foodpanda.com.tw/restaurant/a6ff/kou-xuan-pin-ma-la-chou-dou-fu-ping-jia-niu-pai-fu-he-dian-yong-he-yong-ping-dian
193,口?品麻辣臭豆腐平價牛排複合店 (永和永平店),4.7/5,https://www.foodpanda.com.tw/restaurant/a6ff/kou-xuan-pin-ma-la-chou-dou-fu-ping-jia-niu-pai-fu-he-dian-yong-he-yong-ping-dian
195,口?品麻辣臭豆腐專賣店 (中和民安店),4.8/5,https://www.foodpanda.com.tw/restaurant/b8qj/kou-xuan-pin-ma-la-chou-dou-fu-zhuan-mai-dian-zhong-he-min-an-dian
40,大中和清粥,4.5/5,https://www.foodpanda.com.tw/restaurant/e0oa/da-zhong-he-qing-zhou
53,大中和清粥,4.5/5,https://www.foodpanda.com.tw/restaurant/e0oa/da-zhong-he-qing-zhou
157,大呼過癮 (中和忠孝店),4.7/5,https://www.foodpanda.com.tw/restaurant/k8is/k8is
158,大呼過癮 (中和忠孝店),5月5日,https://www.foodpanda.com.tw/restaurant/k8is/k8is
87,大呼過癮 (板橋三民店),4.6/5,https://www.foodpanda.com.tw/restaurant/d3yd/da-hu-guo-yin-ban-qiao-san-min-dian
92,大呼過癮 (板橋忠孝店),4.6/5,https://www.foodpanda.com.tw/restaurant/a7fl/da-hu-guo-yin-ban-qiao-zhong-xiao-dian
80,大呼過癮 (新北中和店),4.6/5,https://www.foodpanda.com.tw/restaurant/d8me/da-hu-guo-yin-xin-bei-zhong-he-dian
86,大呼過癮 (新北中和店),4.6/5,https://www.foodpanda.com.tw/restaurant/d8me/da-hu-guo-yin-xin-bei-zhong-he-dian
199,大呼過癮 (新北中和店),4.6/5,https://www.foodpanda.com.tw/restaurant/d8me/da-hu-guo-yin-xin-bei-zhong-he-dian
195,大呼過癮 (新北圓通店),4.7/5,https://www.foodpanda.com.tw/restaurant/z3ha/da-hu-guo-yin-xin-bei-yuan-tong-dian
105,大苑子 (永和樂華店),4.8/5,https://www.foodpanda.com.tw/restaurant/z7nm/da-yuan-zi-yong-he-le-hua-dian
104,大苑子 (永和樂華店),4.8/5,https://www.foodpanda.com.tw/restaurant/z7nm/da-yuan-zi-yong-he-le-hua-dian
187,大統牛排 (永和永平店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7sy/da-tong-niu-pai-yong-he-yong-ping-dian
75,大統牛排 (永和永平店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7sy/da-tong-niu-pai-yong-he-yong-ping-dian
177,大統牛排 (永和永平店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7sy/da-tong-niu-pai-yong-he-yong-ping-dian
47,大華牛排,4.7/5,https://www.foodpanda.com.tw/restaurant/e6fv/da-hua-niu-pai
57,大華夜市王,4.6/5,https://www.foodpanda.com.tw/restaurant/e3fu/da-hua-ye-shi-wang
199,大華剉冰,4.7/5,https://www.foodpanda.com.tw/restaurant/z2hl/da-hua-cuo-bing
81,大華剉冰,4.7/5,https://www.foodpanda.com.tw/restaurant/z2hl/da-hua-cuo-bing
191,大華剉冰,4.6/5,https://www.foodpanda.com.tw/restaurant/z2hl/da-hua-cuo-bing
185,大漢草原新疆烤肉串,4.6/5,https://www.foodpanda.com.tw/restaurant/a9lw/da-han-cao-yuan-xin-jiang-kao-rou-chuan
78,大漢草原新疆烤肉串,4.7/5,https://www.foodpanda.com.tw/restaurant/a9lw/da-han-cao-yuan-xin-jiang-kao-rou-chuan
181,大漢草原新疆烤肉串,4.6/5,https://www.foodpanda.com.tw/restaurant/a9lw/da-han-cao-yuan-xin-jiang-kao-rou-chuan
12,大嚐津泡菜燒肉,4.6/5,https://www.foodpanda.com.tw/restaurant/a2qc/da-chang-jin-pao-cai-shao-rou
152,子瑍的店,4月5日,https://www.foodpanda.com.tw/restaurant/f6bf/f6bf
152,子瑍的店,4月5日,https://www.foodpanda.com.tw/restaurant/f6bf/f6bf
133,小上海香酥雞 (土城延吉店),4.7/5,https://www.foodpanda.com.tw/restaurant/a0fy/xiao-shang-hai-xiang-su-ji-tu-cheng-yan-ji-dian
171,小吳滷味(加熱滷味),4.4/5,https://www.foodpanda.com.tw/restaurant/f6ax/f6ax
41,小妖雞香酥雞排 (中和南勢角店),4.6/5,https://www.foodpanda.com.tw/restaurant/d9dz/xiao-yao-ji-xiang-su-ji-pai-zhong-he-nan-shi-jiao-dian
54,小妖雞香酥雞排 (中和南勢角店),4.6/5,https://www.foodpanda.com.tw/restaurant/d9dz/xiao-yao-ji-xiang-su-ji-pai-zhong-he-nan-shi-jiao-dian
52,小林火烤牛排,4.7/5,https://www.foodpanda.com.tw/restaurant/a4ug/xiao-lin-huo-kao-niu-pai
173,小海水產 (中和景安店),4.7/5,https://www.foodpanda.com.tw/restaurant/a0eb/xiao-hai-shui-chan-zhong-he-jing-an-dian
28,小海水產 (永和永貞店),4.7/5,https://www.foodpanda.com.tw/restaurant/a1ns/xiao-hai-shui-chan-yong-he-yong-zhen-dian
39,小海水產 (永和永貞店),4.7/5,https://www.foodpanda.com.tw/restaurant/a1ns/xiao-hai-shui-chan-yong-he-yong-zhen-dian
70,小海水產 (永和永貞店),4.7/5,https://www.foodpanda.com.tw/restaurant/a1ns/xiao-hai-shui-chan-yong-he-yong-zhen-dian
168,小海水產 (永和永貞店),4.7/5,https://www.foodpanda.com.tw/restaurant/a1ns/xiao-hai-shui-chan-yong-he-yong-zhen-dian
202,小樂甘草芭樂,4.7/5,https://www.foodpanda.com.tw/restaurant/z6dr/xiao-le-gan-cao-ba-le
218,川霸子 (土城永豐店),4.6/5,https://www.foodpanda.com.tw/restaurant/e3iw/chuan-ba-zi-tu-cheng-yong-feng-dian
143,川霸子 (永和民生店),4.7/5,https://www.foodpanda.com.tw/restaurant/f4ht/f4ht
80,川霸子 (永和民生店),4.7/5,https://www.foodpanda.com.tw/restaurant/f4ht/f4ht
143,川霸子 (永和民生店),4.7/5,https://www.foodpanda.com.tw/restaurant/f4ht/f4ht
187,川霸子 (永和民生店),4.7/5,https://www.foodpanda.com.tw/restaurant/f4ht/f4ht
95,不一樣珍珠奶茶,4.5/5,https://www.foodpanda.com.tw/restaurant/a8zk/bu-yi-yang-zhen-zhu-nai-cha
145,不可不喝奶昔屋,4.5/5,https://www.foodpanda.com.tw/restaurant/f3yr/f3yr
14,不可不喝奶昔屋,4.5/5,https://www.foodpanda.com.tw/restaurant/f3yr/f3yr
31,不可不喝奶昔屋,4.5/5,https://www.foodpanda.com.tw/restaurant/f3yr/f3yr
145,不可不喝奶昔屋,4.5/5,https://www.foodpanda.com.tw/restaurant/f3yr/f3yr
92,中和米粉湯,4.6/5,https://www.foodpanda.com.tw/restaurant/b7mi/zhong-he-mi-fen-tang
85,中和米粉湯,4.6/5,https://www.foodpanda.com.tw/restaurant/b7mi/zhong-he-mi-fen-tang
198,中和米粉湯,4.6/5,https://www.foodpanda.com.tw/restaurant/b7mi/zhong-he-mi-fen-tang
119,中和清心福全（中山店）,4.7/5,https://www.foodpanda.com.tw/restaurant/b2wo/qing-xin-fu-quan-ji-long-dong-xin-dian
94,中和清心福全（中山店）,4.7/5,https://www.foodpanda.com.tw/restaurant/b2wo/qing-xin-fu-quan-ji-long-dong-xin-dian
203,六扇門 (中和莒光店),4.7/5,https://www.foodpanda.com.tw/restaurant/e7wr/liu-shan-men-zhong-he-ju-guang-dian
24,午後烘焙,4.8/5,https://www.foodpanda.com.tw/restaurant/a0td/wu-hou-hong-bei
165,午後烘焙,4.6/5,https://www.foodpanda.com.tw/restaurant/a0td/wu-hou-hong-bei
26,午後烘焙,4.8/5,https://www.foodpanda.com.tw/restaurant/a0td/wu-hou-hong-bei
164,午後烘焙,4.7/5,https://www.foodpanda.com.tw/restaurant/a0td/wu-hou-hong-bei
23,手工尤小籠包,4.6/5,https://www.foodpanda.com.tw/restaurant/z1fl/shou-gong-you-xiao-long-bao
106,手作功夫茶 (土城延和店),4.7/5,https://www.foodpanda.com.tw/restaurant/b8nk/shou-zuo-gong-fu-cha-tu-cheng-yan-he-dian
117,日日裝茶 (永和竹林店),4.7/5,https://www.foodpanda.com.tw/restaurant/f5cr/f5cr
119,日日裝茶 (永和竹林店),4.7/5,https://www.foodpanda.com.tw/restaurant/f5cr/f5cr
104,木瓜職人木瓜牛奶,4.7/5,https://www.foodpanda.com.tw/restaurant/a0nx/mu-gua-zhi-ren-mu-gua-niu-nai
116,木瓜職人木瓜牛奶,4.7/5,https://www.foodpanda.com.tw/restaurant/a0nx/mu-gua-zhi-ren-mu-gua-niu-nai
105,牛奶妹-紅茶牛奶,4.8/5,https://www.foodpanda.com.tw/restaurant/a1pb/niu-nai-mei-hong-cha-niu-nai
119,出櫃冷飲 (中和興南店),4.7/5,https://www.foodpanda.com.tw/restaurant/z7rv/chu-gui-leng-yin-zhong-he-xing-nan-dian
117,出櫃冷飲 (中和興南店),4.7/5,https://www.foodpanda.com.tw/restaurant/z7rv/chu-gui-leng-yin-zhong-he-xing-nan-dian
177,北海道手打烏冬&咖哩專門店,4月5日,https://www.foodpanda.com.tw/restaurant/f4nb/f4nb
8,古早味點心鋪,4.6/5,https://www.foodpanda.com.tw/restaurant/b7fu/gu-zao-wei-dian-xin-pu
12,古早味點心鋪,4.6/5,https://www.foodpanda.com.tw/restaurant/b7fu/gu-zao-wei-dian-xin-pu
103,古斯比茶飲,4.5/5,https://www.foodpanda.com.tw/restaurant/a1gw/gu-si-bi-cha-yin
98,古斯比茶飲,4.5/5,https://www.foodpanda.com.tw/restaurant/a1gw/gu-si-bi-cha-yin
1,台北城麻辣鴨血臭豆腐,4.7/5,https://www.foodpanda.com.tw/restaurant/b4li/tai-bei-cheng-ma-la-ya-xie-chou-dou-fu
89,台客麻辣燙,4.6/5,https://www.foodpanda.com.tw/restaurant/d0os/tai-ke-ma-la-tang
202,台客麻辣燙,4.6/5,https://www.foodpanda.com.tw/restaurant/d0os/tai-ke-ma-la-tang
168,台灣奇雞鹽水雞,4.5/5,https://www.foodpanda.com.tw/restaurant/f0we/f0we
53,四海遊龍 (中和景新店),4.6/5,https://www.foodpanda.com.tw/restaurant/y7se/si-hai-you-long-zhong-he-jing-xin-dian
60,四海遊龍 (中和景新店),4.6/5,https://www.foodpanda.com.tw/restaurant/y7se/si-hai-you-long-zhong-he-jing-xin-dian
52,四海遊龍 (中和華夏店),4.6/5,https://www.foodpanda.com.tw/restaurant/b5ls/si-hai-you-long-zhong-he-hua-xia-dian
23,四海遊龍 (中和華夏店),4.6/5,https://www.foodpanda.com.tw/restaurant/b5ls/si-hai-you-long-zhong-he-hua-xia-dian
42,四海遊龍 (中和華夏店),4.6/5,https://www.foodpanda.com.tw/restaurant/b5ls/si-hai-you-long-zhong-he-hua-xia-dian
50,四海遊龍 (安康安樂店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0og/si-hai-you-long-an-kang-an-le-dian
15,四海遊龍 (安康安樂店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0og/si-hai-you-long-an-kang-an-le-dian
51,四海遊龍 (安康安樂店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0og/si-hai-you-long-an-kang-an-le-dian
41,巧味牛排,4.7/5,https://www.foodpanda.com.tw/restaurant/z9ih/qiao-wei-niu-pai
158,平價海產小吃店,5月5日,https://www.foodpanda.com.tw/restaurant/l1oi/l1oi
157,平價海產小吃店,5月5日,https://www.foodpanda.com.tw/restaurant/l1oi/l1oi
