id,name,rate,link
1,伙房私廚,4.8/5,https://www.foodpanda.com.tw/restaurant/z8xu/huo-fang-si-chu
2,19咖啡輕食廚房 (台北中原店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9on/19--1
3,玖五牛肉麵,4.6/5,https://www.foodpanda.com.tw/restaurant/f3bt/f3bt
4,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
5,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
6,茶堀出軌,4.8/5,https://www.foodpanda.com.tw/restaurant/e9mm/cha-ku-chu-gui
7,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
8,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
9,古潮雞 A&T Fried Chicken,4.5/5,https://www.foodpanda.com.tw/restaurant/y7gt/-a-t-fried-chicken
10,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
11,雞老爺(林森七條通店),4.5/5,https://www.foodpanda.com.tw/restaurant/f7mo/f7mo
12,夜上海-上海餐酒坊,4.6/5,https://www.foodpanda.com.tw/restaurant/e9vf/ye-shang-hai-shang-hai-can-jiu-fang
13,延三碳烤,4.6/5,https://www.foodpanda.com.tw/restaurant/d5ry/yan-san-tan-kao
14,阿朱的牛排飯,4.6/5,https://www.foodpanda.com.tw/restaurant/b1ps/a-zhu-de-niu-pai-fan
15,風來坊串串錦店,4.7/5,https://www.foodpanda.com.tw/restaurant/f6rn/f6rn
16,桶一天下 (台北合江店),4.6/5,https://www.foodpanda.com.tw/restaurant/f2zy/f2zy
17,開源社香雞排 (台北延平北店),4.6/5,https://www.foodpanda.com.tw/restaurant/a5kz/kai-yuan-she-xiang-ji-pai-tai-bei-yan-ping-bei-dian
18,集客人間茶館 (台北民權店),4.6/5,https://www.foodpanda.com.tw/restaurant/b2or/ji-ke-ren-jian-cha-guan-tai-bei-min-quan-dian
19,吃味餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/a2kw/chi-wei-can-ting
20,本橋壽司,4.5/5,https://www.foodpanda.com.tw/restaurant/f2wj/f2wj
21,Last Order 餐酒館,4.7/5,https://www.foodpanda.com.tw/restaurant/y7lj/last-order-
22,粥師傅 (台北延三店),4.5/5,https://www.foodpanda.com.tw/restaurant/f6os/f6os
23,糜家莊,4.6/5,https://www.foodpanda.com.tw/restaurant/w3el/mi-jia-zhuang
24,三兄妹雪花冰 (西門町總店),4.6/5,https://www.foodpanda.com.tw/restaurant/b9pb/san-xiong-mei-xue-hua-bing-xi-men-ting-zong-dian
25,隱鍋 (台北林森北路店),4.5/5,https://www.foodpanda.com.tw/restaurant/e1xq/yin-guo-tai-bei-lin-sen-bei-lu-dian
26,勝十蘭拉麵 (萬華西門店),4.6/5,https://www.foodpanda.com.tw/restaurant/e4mz/sheng-shi-lan-la-mian-wan-hua-xi-men-dian
27,火鍋殿,4.6/5,https://www.foodpanda.com.tw/restaurant/e3zl/huo-guo-dian
28,阿國深夜食堂,4.6/5,https://www.foodpanda.com.tw/restaurant/z5rf/a-guo-shen-ye-shi-tang
29,辛媽之家,4.6/5,https://www.foodpanda.com.tw/restaurant/b5uy/xin-ma-zhi-jia
30,小心上癮鹹水雞 (台北中山店),4.6/5,https://www.foodpanda.com.tw/restaurant/e3si/xiao-xin-shang-yin-xian-shui-ji-tai-bei-zhong-shan-dian
31,八方雲集 (林森北店),4.7/5,https://www.foodpanda.com.tw/restaurant/a7kg/ba-fang-yun-ji-lin-sen-bei-dian
32,吉星港式飲茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y9bd/ji-xing-gang-shi-yin-cha
33,一號倉庫炭火串燒,4.4/5,https://www.foodpanda.com.tw/restaurant/b0yc/yi-hao-cang-ku-tan-huo-chuan-shao
34,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
35,林森百燴,4.5/5,https://www.foodpanda.com.tw/restaurant/e4zn/lin-sen-bai-hui
36,許記生煎包,5月5日,https://www.foodpanda.com.tw/restaurant/f3md/f3md
37,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
38,三顧茅廬 (台北長安東一店),4.6/5,https://www.foodpanda.com.tw/restaurant/z9zo/san-gu-mao-lu-tai-bei-chang-an-dong-yi-dian
39,BitHub餐酒館,4.5/5,https://www.foodpanda.com.tw/restaurant/f1pf/bithub-
40,家鄉碳烤雞排 (台北民生東店),4.5/5,https://www.foodpanda.com.tw/restaurant/f5mh/f5mh
41,川味老郭牛肉麵.水餃,4.5/5,https://www.foodpanda.com.tw/restaurant/b9oe/chuan-wei-lao-guo-niu-rou-mian-shui-jiao
42,南京粥品,4.5/5,https://www.foodpanda.com.tw/restaurant/f3sg/1a
43,本橋壽司,4.5/5,https://www.foodpanda.com.tw/restaurant/f2wj/f2wj
44,冬暖夏涼?記甜品,4.5/5,https://www.foodpanda.com.tw/restaurant/d0dm/dong-nuan-xia-liang-kun-ji-tian-pin
45,COLD STONE (西門門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4bm/cold-stone--10
