id,name,rate,link
1,30巷珍味果汁肉鬆店,4.7/5,https://www.foodpanda.com.tw/restaurant/a2ms/30--1
2,糜家莊,4.6/5,https://www.foodpanda.com.tw/restaurant/w3el/mi-jia-zhuang
3,19咖啡輕食廚房 (台北中原店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9on/19--1
4,桶一天下 (台北合江店),4.6/5,https://www.foodpanda.com.tw/restaurant/f2zy/f2zy
5,老睦家 炒鱔魚 沙茶魚頭火鍋,4.7/5,https://www.foodpanda.com.tw/restaurant/a7my/lao-mu-jia
6,老四川巴蜀麻辣燙 (台北長安店),4.5/5,https://www.foodpanda.com.tw/restaurant/d0pd/lao-si-chuan-ba-shu-ma-la-tang-tai-bei-chang-an-dian
7,伙房私廚,4.8/5,https://www.foodpanda.com.tw/restaurant/z8xu/huo-fang-si-chu
8,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
9,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
10,川味老郭牛肉麵.水餃,4.5/5,https://www.foodpanda.com.tw/restaurant/b9oe/chuan-wei-lao-guo-niu-rou-mian-shui-jiao
11,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
12,莫宰羊羊肉精緻料理 (台北松山店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8dx/mo-zai-yang-yang-rou-jing-zhi-liao-li-tai-bei-song-shan-dian
13,好泰Goodthai,4.7/5,https://www.foodpanda.com.tw/restaurant/d0yu/-goodthai
14,瘋狂肉串王 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/f8rd/f8rd
15,來塊披薩專門店,4.6/5,https://www.foodpanda.com.tw/restaurant/y0wt/lai-kuai-pi-sa-zhuan-men-dian
16,好雞匯鹹水雞 松山店,4.6/5,https://www.foodpanda.com.tw/restaurant/f5ns/f5ns
17,夜上海-上海餐酒坊,4.6/5,https://www.foodpanda.com.tw/restaurant/e9vf/ye-shang-hai-shang-hai-can-jiu-fang
18,甘芭嗲水果茶飲甜食 (台北永吉店),5月5日,https://www.foodpanda.com.tw/restaurant/f6bp/f6bp
19,醇滷味 (台北中崙店),4.5/5,https://www.foodpanda.com.tw/restaurant/y1wh/chun-lu-wei-tai-bei-zhong-lun-dian
20,無老鍋 (台北市民店),4.8/5,https://www.foodpanda.com.tw/restaurant/a9vi/wu-lao-guo-tai-bei-shi-min-dian
21,辛媽之家,4.6/5,https://www.foodpanda.com.tw/restaurant/b5uy/xin-ma-zhi-jia
22,阿國深夜食堂,4.6/5,https://www.foodpanda.com.tw/restaurant/z5rf/a-guo-shen-ye-shi-tang
23,風來坊串串錦店,4.7/5,https://www.foodpanda.com.tw/restaurant/f6rn/f6rn
24,北京羊肉串,4.8/5,https://www.foodpanda.com.tw/restaurant/f1oe/f1oe
25,一品園湯包排骨酥,4.5/5,https://www.foodpanda.com.tw/restaurant/f6wm/f6wm
26,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
27,BitHub餐酒館,4.5/5,https://www.foodpanda.com.tw/restaurant/f1pf/bithub-
28,玖五牛肉麵,4.6/5,https://www.foodpanda.com.tw/restaurant/f3bt/f3bt
29,丰馥刈包,4.5/5,https://www.foodpanda.com.tw/restaurant/y7ud/feng-fu-yi-bao
30,雞老爺藥膳桶仔雞串燒生啤酒,4.6/5,https://www.foodpanda.com.tw/restaurant/w1oq/ji-lao-ye-yao-shan-tong-zi-ji
31,吉星港式飲茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y9bd/ji-xing-gang-shi-yin-cha
32,艋舺雞排 (大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/y9ek/meng-jia-ji-pai-da-an-tong-hua-dian
33,老四川巴蜀麻辣燙 (台北長安店),4.5/5,https://www.foodpanda.com.tw/restaurant/d0pd/lao-si-chuan-ba-shu-ma-la-tang-tai-bei-chang-an-dian
34,秧米Yumeat Rice,4.6/5,https://www.foodpanda.com.tw/restaurant/z4mr/-yumeat-rice
35,北京羊肉串,4.8/5,https://www.foodpanda.com.tw/restaurant/f1oe/f1oe
