id,name,rate,link
1,山尚羊肉爐 (新北三重店),4.6/5,https://www.foodpanda.com.tw/restaurant/z5mj/shan-shang-yang-rou-lu-xin-bei-san-zhong-dian
2,八幡町串燒,4.7/5,https://www.foodpanda.com.tw/restaurant/d9bx/ba-fan-ting-chuan-shao
3,創意造型熱狗,4.7/5,https://www.foodpanda.com.tw/restaurant/z2ik/chuang-yi-zao-xing-re-gou
4,寶島紅茶冰 (新北三重店),4.7/5,https://www.foodpanda.com.tw/restaurant/f3ta/new3
5,辣椒比牛大/加熱滷味,4.8/5,https://www.foodpanda.com.tw/restaurant/f1jx/580
6,福佬椒鹽鴨頭,4.6/5,https://www.foodpanda.com.tw/restaurant/z5jw/fu-lao-jiao-yan-ya-tou
7,美芝客沙威瑪,4.6/5,https://www.foodpanda.com.tw/restaurant/b2hf/mei-zhi-ke-sha-wei-ma
8,協力香雞排 (三重後竹圍店),4.6/5,https://www.foodpanda.com.tw/restaurant/d5uo/xie-li-xiang-ji-pai-san-zhong-hou-zhu-wei-dian
9,大開口臭臭鍋,4.6/5,https://www.foodpanda.com.tw/restaurant/e4ik/da-kai-kou-chou-chou-guo
10,搶雞王,4.6/5,https://www.foodpanda.com.tw/restaurant/f0xe/f0xe
11,富大牛排館,4.6/5,https://www.foodpanda.com.tw/restaurant/y9ze/fu-da-niu-pai-guan
12,阿卡拉炸雞 (新北三重自強店),4.6/5,https://www.foodpanda.com.tw/restaurant/b3vs/a-qia-la-zha-ji-xin-bei-san-zhong-zi-qiang-dian
13,萬里香碳燒石頭玉米,4.7/5,https://www.foodpanda.com.tw/restaurant/y9wm/wan-li-xiang-kao-yu-mi
14,欲罷不能鹹水雞 (蘆洲光華店),4.7/5,https://www.foodpanda.com.tw/restaurant/f6ma/f6ma
15,吮指王 (三重大同店),4.8/5,https://www.foodpanda.com.tw/restaurant/d5pm/shun-zhi-wang-san-zhong-da-tong-dian
16,摩奇地,4.6/5,https://www.foodpanda.com.tw/restaurant/y7vx/mo-qi-di
17,崧田滷味,4.7/5,https://www.foodpanda.com.tw/restaurant/f7tw/f7tw
18,雙寶鹹酥雞,4.6/5,https://www.foodpanda.com.tw/restaurant/b1lm/shuang-bao-xian-su-ji-vendor
19,Do寶堡鐵板沙威瑪,4.7/5,https://www.foodpanda.com.tw/restaurant/z5xz/dobao-bao-tie-ban-sha-wei-ma
20,蒸烤貝水產,4.8/5,https://www.foodpanda.com.tw/restaurant/d0kv/zheng-kao-bei-shui-chan
21,廖添丁香川麻辣燙 (新北三重店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9pk/liao-tian-ding-xiang-chuan-ma-la-tang-xin-bei-san-zhong-dian
22,胖老爹美式炸雞 (三重自強店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3kh/pang-lao-die-mei-shi-zha-ji-san-zhong-zi-qiang-dian
23,店長鴨血 (蘆洲光華店),4.7/5,https://www.foodpanda.com.tw/restaurant/e1dm/dian-chang-ya-xie-lu-zhou-guang-hua-dian
24,獨伊佳滷味店,4.7/5,https://www.foodpanda.com.tw/restaurant/b2cj/du-yi-jia-lu-wei-dian
25,鏊屋串燒·壽司·酒場 (新北蘆洲店),4.6/5,https://www.foodpanda.com.tw/restaurant/z0ea/ao-wu-chuan-shao-shou-si-jiu-chang-xin-bei-lu-zhou-dian
26,BOSS沙威瑪 (蘆洲成功店),4.7/5,https://www.foodpanda.com.tw/restaurant/d7sp/bosssha-wei-ma-lu-zhou-cheng-gong-dian
27,楊大娘關東煮、小火鍋、麻辣燙,4.6/5,https://www.foodpanda.com.tw/restaurant/d1ve/yang-da-niang-lu-zhou-xin-yi-dian
28,卜心香雞排 (新北民族店),4.6/5,https://www.foodpanda.com.tw/restaurant/b9tk/bu-xin-xiang-ji-pai-xin-bei-min-zu-dian
29,臻鮮精緻鍋物,4.7/5,https://www.foodpanda.com.tw/restaurant/f3lc/715
30,建誼滷味 (蘆洲信義直營店),4.7/5,https://www.foodpanda.com.tw/restaurant/b4at/jian-yi-lu-wei-lu-zhou-xin-yi-zhi-ying-dian
31,川霸子 (三重三和店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0fr/chuan-ba-zi-san-zhong-san-he-dian
