id,name,rate,link
1,赤野居酒屋,4.7/5,https://www.foodpanda.com.tw/restaurant/y2zf/chi-ye-ju-jiu-wu
2,真正好蚌,4.5/5,https://www.foodpanda.com.tw/restaurant/z0sz/zhen-zheng-hao-bang
3,店長鴨血 (新北中和景平店),4.6/5,https://www.foodpanda.com.tw/restaurant/a4uw/dian-chang-ya-xie-xin-bei-zhong-zheng-jing-ping-dian
4,李來脆皮玉米,4.8/5,https://www.foodpanda.com.tw/restaurant/d0yc/li-lai-cui-pi-yu-mi-vendor
5,樂華阿文炭烤玉米,4.6/5,https://www.foodpanda.com.tw/restaurant/z9gl/le-hua-a-wen-tan-kao-yu-mi
6,真好味麻辣燙,4.6/5,https://www.foodpanda.com.tw/restaurant/d9uc/zhen-hao-wei-ma-la-tang
7,85度C (永和頂溪店),4.8/5,https://www.foodpanda.com.tw/restaurant/y7qi/85-c--32
8,相撲大雞排 (新北永亨店),4.6/5,https://www.foodpanda.com.tw/restaurant/z0aj/xiang-pu-da-ji-pai-xin-bei-yong-heng-dian
9,滷客Look,4.7/5,https://www.foodpanda.com.tw/restaurant/a3yw/look
10,永亨廣東粥,4.6/5,https://www.foodpanda.com.tw/restaurant/b5oc/yong-heng-guang-dong-zhou
11,miniB手作漢堡,4.7/5,https://www.foodpanda.com.tw/restaurant/z2cr/minib
12,古早味點心鋪,4.6/5,https://www.foodpanda.com.tw/restaurant/b7fu/gu-zao-wei-dian-xin-pu
13,李洪?仔麵 熱炒、小吃,4.6/5,https://www.foodpanda.com.tw/restaurant/a1vv/li-hong-dan-zi-mian-re-chao-xiao-chi
14,不可不喝奶昔屋,4.5/5,https://www.foodpanda.com.tw/restaurant/f3yr/f3yr
15,四海遊龍 (安康安樂店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0og/si-hai-you-long-an-kang-an-le-dian
16,J’s Coffee 僦室 自家烘焙咖啡園,4.7/5,https://www.foodpanda.com.tw/restaurant/d8uw/j-s-coffee-
17,一送一蛋糕,4.6/5,https://www.foodpanda.com.tw/restaurant/a2zn/yi-song-yi-dan-gao
