id,name,rate,link
1,健康滷味 (新莊中和店),4.6/5,https://www.foodpanda.com.tw/restaurant/e5sd/jian-kang-lu-wei-xin-zhuang-zhong-he-dian
2,開源社香雞排 (新北泰山店),4.8/5,https://www.foodpanda.com.tw/restaurant/b3dp/kai-yuan-she-xiang-ji-pai-xin-bei-tai-shan-dian
3,雪城麻辣燙,4.7/5,https://www.foodpanda.com.tw/restaurant/f4te/f4te
4,開源社香雞排 (新北幸福店),4.5/5,https://www.foodpanda.com.tw/restaurant/z9kg/kai-yuan-she-xiang-ji-pai-xin-bei-xing-fu-dian
5,福壽小吃肉圓,4.6/5,https://www.foodpanda.com.tw/restaurant/z8cp/fu-shou-xiao-chi-rou-yuan
6,元氣脆皮章魚燒 (新北輔大店),4.8/5,https://www.foodpanda.com.tw/restaurant/a1md/yuan-qi-cui-pi-zhang-yu-shao-xin-bei-fu-da-dian
7,???鬆餅的戀曲,4.7/5,https://www.foodpanda.com.tw/restaurant/d9te/song-bing-de-lian-qu
8,晶口福串燒,4.6/5,https://www.foodpanda.com.tw/restaurant/b4tv/jing-kou-fu-chuan-shao
9,昌平炸雞王 (新北新莊店),4.7/5,https://www.foodpanda.com.tw/restaurant/y7qg/chang-ping-zha-ji-wang-xin-bei-xin-zhuang-dian
10,原?物健康湯鍋,4.7/5,https://www.foodpanda.com.tw/restaurant/b1mi/yuan-nowu-jian-kang-tang-guo
11,g呷馬沙威瑪 (新北新莊店),4.5/5,https://www.foodpanda.com.tw/restaurant/z4rf/gxia-ma-sha-wei-ma-xin-bei-xin-zhuang-dian
12,鍋台銘 (新莊中正店),4.5/5,https://www.foodpanda.com.tw/restaurant/e4qe/guo-tai-ming-xin-zhuang-zhong-zheng-dian
13,嗆蝦集團休閒釣蝦場,4.9/5,https://www.foodpanda.com.tw/restaurant/f6rf/f6rf
14,好好吃滷味東山鴨頭,4.6/5,https://www.foodpanda.com.tw/restaurant/f2ia/f2ia
15,食來也炭烤桶仔雞,4.5/5,https://www.foodpanda.com.tw/restaurant/a5vg/shi-lai-ye-tan-kao-tong-zi-ji
16,品江冷滷味,4.7/5,https://www.foodpanda.com.tw/restaurant/d7ix/pin-jiang-leng-lu-wei
17,八雲町???鍋 (日式料理),4.6/5,https://www.foodpanda.com.tw/restaurant/d5vp/ba-yun-ting-huo-guo-ri-shi-liao-li
18,高地PUB,4.7/5,https://www.foodpanda.com.tw/restaurant/d1qy/pub
19,林原煙燻滷味 (新莊福壽店),4.5/5,https://www.foodpanda.com.tw/restaurant/a0yg/lin-yuan-lu-wei-xin-zhuang-fu-shou-dian
20,口?品平價牛排專賣店 (新莊店),4.5/5,https://www.foodpanda.com.tw/restaurant/a1ci/kou-xuan-pin-ping-jia-niu-pai-zhuan-mai-dian-xin-zhuang-dian
21,俠客牛排,4.5/5,https://www.foodpanda.com.tw/restaurant/e9my/--290
22,林記香菇赤肉羹 (新莊武廟店),4.5/5,https://www.foodpanda.com.tw/restaurant/b5qk/lin-ji-xiang-gu-chi-rou-geng-xin-zhuang-wu-miao-dian
23,香酥地瓜球,4.7/5,https://www.foodpanda.com.tw/restaurant/a4qj/xiang-su-di-gua-qiu
24,海老客創意活蝦料理,4.7/5,https://www.foodpanda.com.tw/restaurant/d9qj/hai-lao-ke-chuang-yi-huo-xia-liao-li
25,店長鴨血 (新莊福壽店),4.5/5,https://www.foodpanda.com.tw/restaurant/y9yr/dian-chang-ya-xie-xin-zhuang-fu-shou-dian
26,烤匠C車,4.7/5,https://www.foodpanda.com.tw/restaurant/z3fs/kao-jiang-cche
27,左轉靠右 coffee & bar,4.6/5,https://www.foodpanda.com.tw/restaurant/z7db/zuo-zhuan-kao-you-coffee-bar
28,饗味鹽酥雞 (新莊景德店),4.6/5,https://www.foodpanda.com.tw/restaurant/b8og/xiang-wei-yan-su-ji-xin-zhuang-jing-de-dian
29,BOSS沙威瑪 (泰山店),4.6/5,https://www.foodpanda.com.tw/restaurant/y2gi/boss--2
30,巧味現烤烘焙,4.7/5,https://www.foodpanda.com.tw/restaurant/b2sk/qiao-wei-xian-kao-hong-bei
31,金色三麥 (新莊晶冠店),4.7/5,https://www.foodpanda.com.tw/restaurant/z6un/jin-se-san-mai-xin-bei-xin-zhuang-jing-guan-dian
32,龍恩焢肉飯 (新北福壽店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3px/long-en-hong-rou-fan-xin-bei-fu-shou-dian
33,曲肯叔叔美式炸雞 (新莊輔大店),4.7/5,https://www.foodpanda.com.tw/restaurant/y2mk/qu-ken-shu-shu-mei-shi-zha-ji-xin-zhuang-fu-da-dian
34,089G排殿,4.6/5,https://www.foodpanda.com.tw/restaurant/f0aq/089g
35,胖老爹美式炸雞 (新莊中榮店),4.6/5,https://www.foodpanda.com.tw/restaurant/z6za/pang-lao-die-mei-shi-zha-ji-xin-zhuang-zhong-rong-dian
36,胖老爹美式炸雞 (新莊廟街店),4.7/5,https://www.foodpanda.com.tw/restaurant/y8qe/pang-lao-die-mei-shi-zha-ji-xin-zhuang-miao-jie-dian
37,流氓雞排 (新莊福壽店),4.6/5,https://www.foodpanda.com.tw/restaurant/b0wy/liu-mang-ji-pai-xin-zhuang-wu-quan-dian
38,泰山廟口豆花,4.6/5,https://www.foodpanda.com.tw/restaurant/a1fg/tai-shan-miao-kou-dou-hua
