id,name,rate,link
1,辛媽之家,4.6/5,https://www.foodpanda.com.tw/restaurant/b5uy/xin-ma-zhi-jia
2,無老鍋 (台北新生店),4.8/5,https://www.foodpanda.com.tw/restaurant/a2rx/wu-lao-guo-tai-bei-xin-sheng-dian
3,胖老爹美式炸雞 (公館台大店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2uj/pang-lao-die-mei-shi-zha-ji-gong-guan-tai-da-dian
4,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
5,朕點麻小面,4.6/5,https://www.foodpanda.com.tw/restaurant/x6ci/zhen-dian-ma-xiao-mian
6,玖五牛肉麵,4.6/5,https://www.foodpanda.com.tw/restaurant/f3bt/f3bt
7,桶一天下 (台北合江店),4.6/5,https://www.foodpanda.com.tw/restaurant/f2zy/f2zy
8,怪舒芙-舒芙蕾厚鬆餅專賣店 Souffle,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lj/-souffle
9,寶島牛牛肉麵,4.5/5,https://www.foodpanda.com.tw/restaurant/a9zn/bao-dao-niu-niu-rou-mian
10,Blue deer布鹿果漾新鮮式 (台北瑞安店),4.5/5,https://www.foodpanda.com.tw/restaurant/y6oe/blue-deer-
11,19咖啡輕食廚房 (台北中原店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9on/19--1
12,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
13,胖老爹美式炸雞 (大安通化店),4.6/5,https://www.foodpanda.com.tw/restaurant/e8zz/pang-lao-die-mei-shi-zha-ji-da-an-tong-hua-dian
14,龍涎居 (台北臨江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8cs/long-xian-ju-tai-bei-lin-jiang-dian
15,師大爆漿起司車輪餅,4.5/5,https://www.foodpanda.com.tw/restaurant/y2bq/shi-da-bao-jiang-qi-si-che-lun-bing
16,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
17,伙房私廚,4.8/5,https://www.foodpanda.com.tw/restaurant/z8xu/huo-fang-si-chu
18,Last Order 餐酒館,4.7/5,https://www.foodpanda.com.tw/restaurant/y7lj/last-order-
19,余記東山鴨頭 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/w2vl/yu-ji-dong-shan-ya-tou-tai-bei-da-an-dian
20,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
21,牛魔王牛排 (師大龍泉店),4.6/5,https://www.foodpanda.com.tw/restaurant/z2ru/niu-mo-wang-niu-pai-shi-da-long-quan-dian
22,茶堀出軌,4.8/5,https://www.foodpanda.com.tw/restaurant/e9mm/cha-ku-chu-gui
23,頂尖高手無骨夢幻鹽酥雞,4.4/5,https://www.foodpanda.com.tw/restaurant/f8qq/f8qq
24,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
25,三兄妹雪花冰 (西門町總店),4.6/5,https://www.foodpanda.com.tw/restaurant/b9pb/san-xiong-mei-xue-hua-bing-xi-men-ting-zong-dian
26,風來坊串串錦店,4.7/5,https://www.foodpanda.com.tw/restaurant/f6rn/f6rn
27,雞老爺藥膳桶仔雞串燒生啤酒,4.6/5,https://www.foodpanda.com.tw/restaurant/w1oq/ji-lao-ye-yao-shan-tong-zi-ji
28,老四川巴蜀麻辣燙 (台北長安店),4.5/5,https://www.foodpanda.com.tw/restaurant/d0pd/lao-si-chuan-ba-shu-ma-la-tang-tai-bei-chang-an-dian
29,執串燒本店,4.6/5,https://www.foodpanda.com.tw/restaurant/b6lo/zhi-chuan-shao-ben-dian
30,火鍋殿,4.6/5,https://www.foodpanda.com.tw/restaurant/e3zl/huo-guo-dian
31,執串燒本店,4.6/5,https://www.foodpanda.com.tw/restaurant/b6lo/zhi-chuan-shao-ben-dian
32,通化街米粉湯50年老店(胡記復興旗艦店),4.5/5,https://www.foodpanda.com.tw/restaurant/y3pm/-50--1
33,胖老爹美式炸雞 (公館台大店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2uj/pang-lao-die-mei-shi-zha-ji-gong-guan-tai-da-dian
34,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
35,辣妞妞麻辣燙 (南機場店),4.6/5,https://www.foodpanda.com.tw/restaurant/y5cv/la-niu-niu-ma-la-tang-tai-bei-nan-ji-chang-dian
36,大台北平價滷味,4.6/5,https://www.foodpanda.com.tw/restaurant/y7qs/da-tai-bei-ping-jia-lu-wei
37,燈籠滷味創始總店,4.5/5,https://www.foodpanda.com.tw/restaurant/y0aq/deng-long-lu-wei-chuang-shi-zong-dian
38,磚瓦台關東煮 (台北師大店),4.5/5,https://www.foodpanda.com.tw/restaurant/a0sf/hong-men-guan-dong-zhu-tai-bei-shi-da-dian
39,陳記豬肝湯,4.6/5,https://www.foodpanda.com.tw/restaurant/f3xn/f3xn
40,娘娘雞排 (台北西門殿),4.6/5,https://www.foodpanda.com.tw/restaurant/a2gh/niang-niang-ji-pai-tai-bei-xi-men-dian
41,人??厚切牛排 (台北復興店),4.5/5,https://www.foodpanda.com.tw/restaurant/z9ga/ren-cong-zhong-hou-qie-niu-pai-tai-bei-fu-xing-dian
42,八方雲集 (林森北店),4.7/5,https://www.foodpanda.com.tw/restaurant/a7kg/ba-fang-yun-ji-lin-sen-bei-dian
43,大方冰品 (台北光復店),4.6/5,https://www.foodpanda.com.tw/restaurant/d1uj/da-fang-bing-pin-tai-bei-guang-fu-dian
44,朕點麻小面 (台北忠孝店),4.5/5,https://www.foodpanda.com.tw/restaurant/y1oc/zhen-dian-ma-xiao-mian-tai-bei-zhong-xiao-dian
45,艋舺雞排 (大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/y9ek/meng-jia-ji-pai-da-an-tong-hua-dian
46,好福記永和豆漿 (台北長春店),4.5/5,https://www.foodpanda.com.tw/restaurant/y7wu/hao-fu-ji-yong-he-dou-jiang-tai-bei-chang-chun-dian
47,燈籠滷味 (台北創始店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8xz/deng-long-lu-wei
48,玉米蛋蛋製作所,4.7/5,https://www.foodpanda.com.tw/restaurant/y8lk/yu-mi-dan-dan-zhi-zuo-suo
49,咖哩王子 (台北臨江店),4.7/5,https://www.foodpanda.com.tw/restaurant/z6mt/ka-li-wang-zi-tai-bei-lin-jiang-dian
50,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
51,三顧茅廬 (台北長安東一店),4.6/5,https://www.foodpanda.com.tw/restaurant/z9zo/san-gu-mao-lu-tai-bei-chang-an-dong-yi-dian
52,許記生煎包,5月5日,https://www.foodpanda.com.tw/restaurant/f3md/f3md
53,十全藥膳排骨(大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a6bi/shi-quan-yao-shan-pai-gu-da-an-tong-hua-dian
54,COLD STONE (西門門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4bm/cold-stone--10
