id,name,rate,link
41,? 碳烤吐司,4.7/5,https://www.foodpanda.com.tw/restaurant/e3rd/kang-tan-kao-tu-si
199,??家 Sukiya (板橋府中店),4.7/5,https://www.foodpanda.com.tw/restaurant/z4jw/sukiya-8
,??家 Sukiya (板橋新埔店),4.7/5,https://www.foodpanda.com.tw/restaurant/z0bl/sukiya-19
131,2派克脆皮雞排 (土城明德店),4.6/5,https://www.foodpanda.com.tw/restaurant/a0fn/2-2
93,5味臭臭鍋 (板橋華興店),4.7/5,https://www.foodpanda.com.tw/restaurant/b4xr/5-6
81,85度C (板橋莒光店),4.7/5,https://www.foodpanda.com.tw/restaurant/y5oy/85-c--132
13,BooM炸彈蔥油餅 (土城延吉店),4.7/5,https://www.foodpanda.com.tw/restaurant/e4ms/boom--1
,COMEBUY (板橋四維店),4.8/5,https://www.foodpanda.com.tw/restaurant/a9vl/comebuy--82
104,COMEBUY (板橋重慶店),4.8/5,https://www.foodpanda.com.tw/restaurant/a6uv/comebuy--57
,CY.W P?tisseries 甜點店,4.7/5,https://www.foodpanda.com.tw/restaurant/f2vd/cy-w-p-tisseries-
,G拔拔香脆雞排 (板橋店),4.5/5,https://www.foodpanda.com.tw/restaurant/a5wb/g--4
,I FRESH鮮果茶 (板橋文化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2bp/i-fresh-3
1,JA火鍋,4.5/5,https://www.foodpanda.com.tw/restaurant/e4fd/ja-
,KAJU義式手作冰淇淋 (新北板橋店),4.7/5,https://www.foodpanda.com.tw/restaurant/z3vu/kaju-
32,Mister Donut (板橋大遠百門市),4.8/5,https://www.foodpanda.com.tw/restaurant/e5kl/mister-donut--48
82,Pizza Hut必勝客 (板橋中正店),4.7/5,https://www.foodpanda.com.tw/restaurant/y2gn/pizza-hut--182
,Pizza Hut必勝客 (板橋文化店),4.7/5,https://www.foodpanda.com.tw/restaurant/y5we/pizza-hut-44
79,Pizza Hut必勝客 (板橋府中店),4.7/5,https://www.foodpanda.com.tw/restaurant/y1nd/pizza-hut--72
87,Pizza Hut必勝客 (板橋特區店),4.7/5,https://www.foodpanda.com.tw/restaurant/d3rg/pizza-hut--57
56,STARBUCKS 星巴克 (板橋新埔門市),4.8/5,https://www.foodpanda.com.tw/restaurant/y1by/starbucks-42
71,Tea’s原味 (土城中央店),5月5日,https://www.foodpanda.com.tw/restaurant/v2ii/tea-s--36
78,Tea's原味 (土城青雲店),4.9/5,https://www.foodpanda.com.tw/restaurant/f2im/tea-s-2
110,TeaTop台灣第一味 (板橋中山店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7ys/teatop--2
53,TrueWin初韻 (板橋中山店),4.7/5,https://www.foodpanda.com.tw/restaurant/z4oc/truewin--3
12,Winggy Winggy美式雞翅店 (板橋新埔店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8ge/winggy-winggy-
,ㄚ祺師鹹酥雞,2月5日,https://www.foodpanda.com.tw/restaurant/f8nm/f8nm
,丁丁香雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/d6pr/ding-ding-xiang-ji-pai
,七盞茶 (板橋裕民店),4.8/5,https://www.foodpanda.com.tw/restaurant/a6oj/qi-zhan-cha-ban-qiao-yu-min-dian
,九品當歸豬腳,4.7/5,https://www.foodpanda.com.tw/restaurant/z2nc/jiu-pin-dang-gui-zhu-jiao
30,九湯屋 (中和積穗店),4.6/5,https://www.foodpanda.com.tw/restaurant/b3zs/jiu-tang-wu-zhong-he-ji-sui-dian
,八方雲集 (板橋光武店),4.5/5,https://www.foodpanda.com.tw/restaurant/f9rl/f9rl
,三顧茅廬 (板橋松柏店),4.7/5,https://www.foodpanda.com.tw/restaurant/y1bw/san-gu-mao-lu-ban-qiao-song-bo-dian
,上紅臭臭鍋 (板橋四維店),,https://www.foodpanda.com.tw/restaurant/e0gs/shang-hong-chou-chou-guo-ban-qiao-si-wei-dian
,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
223,口?品麻辣臭豆腐專賣店 (中和民安店),4.7/5,https://www.foodpanda.com.tw/restaurant/b8qj/kou-xuan-pin-ma-la-chou-dou-fu-zhuan-mai-dian-zhong-he-min-an-dian
,大呼過癮 (板橋三民店),4.6/5,https://www.foodpanda.com.tw/restaurant/d3yd/da-hu-guo-yin-ban-qiao-san-min-dian
,大呼過癮 (板橋莒光店),4.6/5,https://www.foodpanda.com.tw/restaurant/e6hp/da-hu-guo-yin-ban-qiao-ju-guang-dian
114,大苑子 (土城裕民店),4.8/5,https://www.foodpanda.com.tw/restaurant/z8bg/da-yuan-zi-tu-cheng-yu-min-dian
,大嚐津泡菜燒肉,4.6/5,https://www.foodpanda.com.tw/restaurant/a2qc/da-chang-jin-pao-cai-shao-rou
137,小上海香酥雞 (土城延吉店),4.7/5,https://www.foodpanda.com.tw/restaurant/a0fy/xiao-shang-hai-xiang-su-ji-tu-cheng-yan-ji-dian
,小吳滷味(加熱滷味),4.4/5,https://www.foodpanda.com.tw/restaurant/f6ax/f6ax
50,小林火烤牛排,4.7/5,https://www.foodpanda.com.tw/restaurant/a4ug/xiao-lin-huo-kao-niu-pai
,小果,4.6/5,https://www.foodpanda.com.tw/restaurant/b8aj/xiao-guo
,小當家健康鹹水雞,4.7/5,https://www.foodpanda.com.tw/restaurant/v9tb/v9tb
,小廚房麻辣鴨血豆腐專賣,4.5/5,https://www.foodpanda.com.tw/restaurant/z9al/xiao-chu-fang-ma-la-ya-xie-dou-fu-zhuan-mai
39,小樂甘草芭樂,4.8/5,https://www.foodpanda.com.tw/restaurant/z6dr/xiao-le-gan-cao-ba-le
14,川霸子 (土城永豐店),4.7/5,https://www.foodpanda.com.tw/restaurant/e3iw/chuan-ba-zi-tu-cheng-yong-feng-dian
,川霸子 (板橋中正店),4.5/5,https://www.foodpanda.com.tw/restaurant/y1fu/chuan-ba-zi-ban-qiao-zhong-zheng-dian
,不一樣珍珠奶茶,4.5/5,https://www.foodpanda.com.tw/restaurant/a8zk/bu-yi-yang-zhen-zhu-nai-cha
,中和清心福全（中山店）,4.7/5,https://www.foodpanda.com.tw/restaurant/b2wo/qing-xin-fu-quan-ji-long-dong-xin-dian
,六扇門 (新北民治店),4.8/5,https://www.foodpanda.com.tw/restaurant/a5gj/liu-shan-men-xin-bei-min-zhi-dian
