id,name,rate,link
1,欲罷不能鹹水雞 (板橋三民店),4.6/5,https://www.foodpanda.com.tw/restaurant/z7wh/yu-ba-bu-neng-xian-shui-ji-ban-qiao-san-min-dian
2,食樂堂,4.6/5,https://www.foodpanda.com.tw/restaurant/b1vd/shi-le-tang-vendor
3,島瓜滷味 (板橋裕民店),4.6/5,https://www.foodpanda.com.tw/restaurant/f8lc/dao-gua-lu-wei
4,G拔拔香脆雞排 (板橋店),4.5/5,https://www.foodpanda.com.tw/restaurant/a5wb/g--4
5,阿山搖擺雞,4.6/5,https://www.foodpanda.com.tw/restaurant/z1mx/a-shan-yao-bai-ji
6,錢都日式涮涮鍋 (新北板橋店),4.5/5,https://www.foodpanda.com.tw/restaurant/d6bk/qian-du-ri-shi-shuan-shuan-guo-xin-bei-ban-qiao-dian
7,樂錢嘟涮涮鍋 (板橋松柏店),4.6/5,https://www.foodpanda.com.tw/restaurant/e2ww/le-qian-du-shuan-shuan-guo-ban-qiao-song-bo-dian
8,八方雲集 (板橋光武店),4.5/5,https://www.foodpanda.com.tw/restaurant/f9rl/f9rl
9,開源社香雞排 (板橋文聖店),4.5/5,https://www.foodpanda.com.tw/restaurant/f8ol/f8ol
10,Winggy Winggy美式雞翅店 (板橋新埔店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8ge/winggy-winggy-
11,赤野居酒屋(丼飯)專賣店 (新北板橋店),4.6/5,https://www.foodpanda.com.tw/restaurant/d5xy/chi-ye-ju-jiu-wu-jing-fan-zhuan-mai-dian-xin-bei-ban-qiao-dian
12,崧匠燒鳥屋台 (新北板橋店),4.6/5,https://www.foodpanda.com.tw/restaurant/a9bb/song-jiang-shao-niao-wu-tai-xin-bei-ban-qiao-dian
13,台北城麻辣鴨血臭豆腐,4.7/5,https://www.foodpanda.com.tw/restaurant/b4li/tai-bei-cheng-ma-la-ya-xie-chou-dou-fu
14,湯滷味,4.6/5,https://www.foodpanda.com.tw/restaurant/z5hq/tang-lu-wei
15,JA火鍋,4.5/5,https://www.foodpanda.com.tw/restaurant/e4fd/ja-
16,俘滷人心,4.7/5,https://www.foodpanda.com.tw/restaurant/a8ll/fu-lu-ren-xin
17,手工尤小籠包,4.6/5,https://www.foodpanda.com.tw/restaurant/z1fl/shou-gong-you-xiao-long-bao
18,夢想雞,4.6/5,https://www.foodpanda.com.tw/restaurant/d8fr/meng-xiang-ji
19,武侍麻辣鍋.涮涮鍋,4.8/5,https://www.foodpanda.com.tw/restaurant/e2pd/wu-shi-ma-la-guo-shuan-shuan-guo
20,么么雞脆皮雞排,4.6/5,https://www.foodpanda.com.tw/restaurant/f7vn/f7vn
21,店長鴨血 (板橋民治店),4.6/5,https://www.foodpanda.com.tw/restaurant/y6oa/dian-chang-ya-xie-ban-qiao-min-zhi-dian
22,雲南燒烤,4.5/5,https://www.foodpanda.com.tw/restaurant/d9pn/yun-nan-shao-kao
23,鴨香煲 (板橋三民店),4.5/5,https://www.foodpanda.com.tw/restaurant/b8kn/ya-xiang-bao-ban-qiao-san-min-dian
24,寮國咖啡輕食館 (新北板橋店),4.6/5,https://www.foodpanda.com.tw/restaurant/d0sm/liao-guo-ka-pei-qing-shi-guan-xin-bei-ban-qiao-dian
25,小廚房麻辣鴨血豆腐專賣,4.5/5,https://www.foodpanda.com.tw/restaurant/z9al/xiao-chu-fang-ma-la-ya-xie-dou-fu-zhuan-mai
26,龍寶食堂,5月5日,https://www.foodpanda.com.tw/restaurant/f8vc/f8vc
27,戰鬥雞 (板橋裕民店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8fn/zhan-dou-ji-ban-qiao-yu-min-dian
28,九品當歸豬腳,4.6/5,https://www.foodpanda.com.tw/restaurant/z2nc/jiu-pin-dang-gui-zhu-jiao
29,辣不辣有你 燙撈 (熱滷味/麻辣燙),4.5/5,https://www.foodpanda.com.tw/restaurant/z9xp/la-bu-la-you-ni-tang-lao-re-lu-wei-ma-la-tang
30,大嚐津泡菜燒肉,4.6/5,https://www.foodpanda.com.tw/restaurant/a2qc/da-chang-jin-pao-cai-shao-rou
31,吮指王 (板橋四維店),4.6/5,https://www.foodpanda.com.tw/restaurant/y3gp/shun-zhi-wang-ban-qiao-si-wei-dian
32,手工尤小籠包,4.6/5,https://www.foodpanda.com.tw/restaurant/z1fl/shou-gong-you-xiao-long-bao
33,阿山搖擺雞,4.6/5,https://www.foodpanda.com.tw/restaurant/z1mx/a-shan-yao-bai-ji
34,極品鹽水雞 (板橋民生店),4.5/5,https://www.foodpanda.com.tw/restaurant/b1tp/ji-pin-yan-shui-ji-ban-qiao-min-sheng-dian
35,八方雲集 (板橋光武店),4.5/5,https://www.foodpanda.com.tw/restaurant/f9rl/f9rl
36,麻丹辣麻辣滷味 (新北板橋店),4.5/5,https://www.foodpanda.com.tw/restaurant/b8rd/ma-dan-la-ma-la-lu-wei-xin-bei-ban-qiao-dian
