id,name,rate,link
1,磚瓦台關東煮 (台北師大店),4.5/5,https://www.foodpanda.com.tw/restaurant/a0sf/hong-men-guan-dong-zhu-tai-bei-shi-da-dian
2,瘋狂肉串王 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/f8rd/f8rd
3,好雞匯鹹水雞 松山店,4.6/5,https://www.foodpanda.com.tw/restaurant/f5ns/f5ns
4,Blue deer布鹿果漾新鮮式 (台北瑞安店),4.5/5,https://www.foodpanda.com.tw/restaurant/y6oe/blue-deer-
5,BOSS沙威瑪 (台北臨江店),4.5/5,https://www.foodpanda.com.tw/restaurant/z2ev/boss
6,來塊披薩專門店,4.6/5,https://www.foodpanda.com.tw/restaurant/y0wt/lai-kuai-pi-sa-zhuan-men-dian
7,30巷珍味果汁肉鬆店,4.7/5,https://www.foodpanda.com.tw/restaurant/a2ms/30--1
8,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
9,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
10,玖五牛肉麵,4.6/5,https://www.foodpanda.com.tw/restaurant/f3bt/f3bt
11,牛魔王牛排 (師大龍泉店),4.6/5,https://www.foodpanda.com.tw/restaurant/z2ru/niu-mo-wang-niu-pai-shi-da-long-quan-dian
12,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
13,龍涎居 (台北臨江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8cs/long-xian-ju-tai-bei-lin-jiang-dian
14,執串燒本店,4.6/5,https://www.foodpanda.com.tw/restaurant/b6lo/zhi-chuan-shao-ben-dian
15,朕點麻小面,4.6/5,https://www.foodpanda.com.tw/restaurant/x6ci/zhen-dian-ma-xiao-mian
16,怪舒芙-舒芙蕾厚鬆餅專賣店 Souffle,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lj/-souffle
17,滷先覺,4.6/5,https://www.foodpanda.com.tw/restaurant/d0tl/lu-xian-jue
18,寶島牛牛肉麵,4.5/5,https://www.foodpanda.com.tw/restaurant/a9zn/bao-dao-niu-niu-rou-mian
19,Uncle Joe's健康餐盒 披薩沙拉,4.5/5,https://www.foodpanda.com.tw/restaurant/f2sl/uncle-joe-s-
20,胖老爹美式炸雞 (公館台大店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2uj/pang-lao-die-mei-shi-zha-ji-gong-guan-tai-da-dian
21,無老鍋 (台北新生店),4.8/5,https://www.foodpanda.com.tw/restaurant/a2rx/wu-lao-guo-tai-bei-xin-sheng-dian
22,老朋友小酌,4.5/5,https://www.foodpanda.com.tw/restaurant/y9ev/lao-peng-you-xiao-zhuo
23,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
24,貓掌燒,4.6/5,https://www.foodpanda.com.tw/restaurant/z3dw/mao-zhang-shao
25,余記東山鴨頭 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/w2vl/yu-ji-dong-shan-ya-tou-tai-bei-da-an-dian
