id,name,rate,link
1,辛媽之家,4.6/5,https://www.foodpanda.com.tw/restaurant/b5uy/xin-ma-zhi-jia
2,無老鍋 (台北西門町店),4.7/5,https://www.foodpanda.com.tw/restaurant/a1xw/wu-lao-guo-tai-bei-xi-men-ting-dian
3,師大爆漿起司車輪餅,4.5/5,https://www.foodpanda.com.tw/restaurant/y2bq/shi-da-bao-jiang-qi-si-che-lun-bing
4,Last Order 餐酒館,4.7/5,https://www.foodpanda.com.tw/restaurant/y7lj/last-order-
5,朕點麻小面,4.6/5,https://www.foodpanda.com.tw/restaurant/x6ci/zhen-dian-ma-xiao-mian
6,食神滷味 (萬華西園店),4.3/5,https://www.foodpanda.com.tw/restaurant/z4jn/shi-shen-lu-wei-wan-hua-xi-yuan-dian
7,延三碳烤,4.6/5,https://www.foodpanda.com.tw/restaurant/d5ry/yan-san-tan-kao
8,達客利卡啦脆雞,4.5/5,https://www.foodpanda.com.tw/restaurant/z2yl/da-ke-li-qia-la-cui-ji
9,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
10,雞 ? 霸 BAR (日式炸雞）,4.6/5,https://www.foodpanda.com.tw/restaurant/d1jc/bar-2
11,THE Kitchen garden 花園廚房,4.5/5,https://www.foodpanda.com.tw/restaurant/x3al/the-kitchen-garden
12,ICE SUMMER,4.3/5,https://www.foodpanda.com.tw/restaurant/d0ym/ice-summer
13,三兄妹雪花冰 (西門町總店),4.6/5,https://www.foodpanda.com.tw/restaurant/b9pb/san-xiong-mei-xue-hua-bing-xi-men-ting-zong-dian
14,胖老爹美式炸雞 (公館台大店),4.7/5,https://www.foodpanda.com.tw/restaurant/a2uj/pang-lao-die-mei-shi-zha-ji-gong-guan-tai-da-dian
15,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
16,番樂屋 (西門旗艦店),4.5/5,https://www.foodpanda.com.tw/restaurant/b0jx/fan-le-wu-xi-men-qi-jian-dian
17,勝十蘭拉麵 (萬華西門店),4.6/5,https://www.foodpanda.com.tw/restaurant/e4mz/sheng-shi-lan-la-mian-wan-hua-xi-men-dian
18,西門平安食堂,4.4/5,https://www.foodpanda.com.tw/restaurant/f8it/f8it
19,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
20,厚道丼飯,4.5/5,https://www.foodpanda.com.tw/restaurant/y8bh/hou-dao-jing-fan
21,深坑大樹下脆皮臭豆腐 純手工麻辣臭豆腐(洪記),4.4/5,https://www.foodpanda.com.tw/restaurant/y7np/shen-keng-da-shu-xia-cui-pi-chou-dou-fu-chun-shou-gong-ma-la-chou-dou-fu-hong-ji
22,猛呷．艋舺串燒,4.3/5,https://www.foodpanda.com.tw/restaurant/f0xz/f0xz
23,打?生猛海鮮快炒,4.5/5,https://www.foodpanda.com.tw/restaurant/e4oc/--595
24,牛魔王牛排 (師大龍泉店),4.6/5,https://www.foodpanda.com.tw/restaurant/z2ru/niu-mo-wang-niu-pai-shi-da-long-quan-dian
25,余記東山鴨頭 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/w2vl/yu-ji-dong-shan-ya-tou-tai-bei-da-an-dian
26,寶島牛牛肉麵,4.5/5,https://www.foodpanda.com.tw/restaurant/a9zn/bao-dao-niu-niu-rou-mian
27,茶堀出軌,4.8/5,https://www.foodpanda.com.tw/restaurant/e9mm/cha-ku-chu-gui
28,粥師傅 (台北延三店),4.5/5,https://www.foodpanda.com.tw/restaurant/f6os/f6os
29,古潮雞 A&T Fried Chicken,4.5/5,https://www.foodpanda.com.tw/restaurant/y7gt/-a-t-fried-chicken
30,四季涼,4.5/5,https://www.foodpanda.com.tw/restaurant/a7za/si-ji-liang
31,金色三麥 (台北京站店),4.5/5,https://www.foodpanda.com.tw/restaurant/f2fo/f2fo
32,COLD STONE (西門門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4bm/cold-stone--10
33,聰明東山鴨頭,4.4/5,https://www.foodpanda.com.tw/restaurant/d1qu/cong-ming-dong-shan-ya-tou
34,八方雲集 (萬華西園店),4.7/5,https://www.foodpanda.com.tw/restaurant/b5to/ba-fang-yun-ji-wan-hua-xi-yuan-dian
35,燈籠滷味創始總店,4.5/5,https://www.foodpanda.com.tw/restaurant/y0aq/deng-long-lu-wei-chuang-shi-zong-dian
36,老四川巴蜀麻辣燙 (台北南京店),4.4/5,https://www.foodpanda.com.tw/restaurant/d7dy/lao-si-chuan-ba-shu-ma-la-tang-tai-bei-nan-jing-dian
37,吉星港式飲茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y9bd/ji-xing-gang-shi-yin-cha
38,雞sir's鹹水雞 (萬華萬青店),4.5/5,https://www.foodpanda.com.tw/restaurant/d8ru/ji-sir-sxian-shui-ji-wan-hua-wan-qing-dian
39,達客利卡啦脆雞,4.5/5,https://www.foodpanda.com.tw/restaurant/z2yl/da-ke-li-qia-la-cui-ji
40,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
41,THE Kitchen garden 花園廚房,4.5/5,https://www.foodpanda.com.tw/restaurant/x3al/the-kitchen-garden
42,一號倉庫炭火串燒,4.4/5,https://www.foodpanda.com.tw/restaurant/b0yc/yi-hao-cang-ku-tan-huo-chuan-shao
43,玉米蛋蛋製作所,4.7/5,https://www.foodpanda.com.tw/restaurant/y8lk/yu-mi-dan-dan-zhi-zuo-suo
44,大台北平價滷味,4.6/5,https://www.foodpanda.com.tw/restaurant/y7qs/da-tai-bei-ping-jia-lu-wei
45,燈籠滷味 (台北創始店),4.6/5,https://www.foodpanda.com.tw/restaurant/y8xz/deng-long-lu-wei
46,三顧茅廬 (台北長安東一店),4.6/5,https://www.foodpanda.com.tw/restaurant/z9zo/san-gu-mao-lu-tai-bei-chang-an-dong-yi-dian
47,辣妞妞麻辣燙 (南機場店),4.6/5,https://www.foodpanda.com.tw/restaurant/y5cv/la-niu-niu-ma-la-tang-tai-bei-nan-ji-chang-dian
48,阿不拉手工甜不辣,4.5/5,https://www.foodpanda.com.tw/restaurant/y5vn/a-bu-la-shou-gong-tian-bu-la
49,麥當勞 (S440 桂林家樂福店),4.7/5,https://www.foodpanda.com.tw/restaurant/d1if/-s440-
50,娘娘雞排 (台北西門殿),4.6/5,https://www.foodpanda.com.tw/restaurant/a2gh/niang-niang-ji-pai-tai-bei-xi-men-dian
51,勝十蘭拉麵,4.4/5,https://www.foodpanda.com.tw/restaurant/y0wx/sheng-shi-lan-la-mian
52,陸家班 特色排隊美食 (台北師大店),4.5/5,https://www.foodpanda.com.tw/restaurant/f1kh/f1kh
